State,Year,unemployment_rate
HI,2004,3.3
ID,2004,4.9
IL,2004,6.2
IN,2004,5.4
IA,2004,4.5
KS,2004,5.5
KY,2004,5.5
LA,2004,5.7
ME,2004,4.7
MD,2004,4.3
MA,2004,5.1
MI,2004,7
MN,2004,4.6
MS,2004,6.2
MO,2004,5.9
MT,2004,4.5
NE,2004,3.9
NV,2004,4.4
NH,2004,3.8
NJ,2004,4.9
NM,2004,5.6
NY,2004,5.8
NC,2004,5.5
ND,2004,3.4
OH,2004,6.2
OK,2004,4.7
OR,2004,7.4
PA,2004,5.4
RI,2004,5.3
SC,2004,6.9
SD,2004,3.6
TN,2004,5.3
TX,2004,6
UT,2004,5
VT,2004,3.6
VA,2004,3.7
WA,2004,6.3
WV,2004,5.4
WI,2004,5
WY,2004,3.8
AL,2005,4.5
AK,2005,6.9
AZ,2005,4.6
AR,2005,5.3
CA,2005,5.4
CO,2005,5.1
CT,2005,4.9
DE,2005,4.1
FL,2005,3.7
GA,2005,5.3
HI,2005,2.8
ID,2005,4
IL,2005,5.7
IN,2005,5.4
IA,2005,4.3
KS,2005,5.1
KY,2005,5.9
LA,2005,7.1
ME,2005,4.9
MD,2005,4.2
MA,2005,4.8
MI,2005,6.8
MN,2005,4.1
MS,2005,7.7
MO,2005,5.4
MT,2005,4.1
NE,2005,3.8
NV,2005,4.2
NH,2005,3.6
NJ,2005,4.4
NM,2005,5.2
NY,2005,5
NC,2005,5.2
ND,2005,3.3
OH,2005,5.9
OK,2005,4.3
OR,2005,6.2
PA,2005,5
RI,2005,5.1
SC,2005,6.8
SD,2005,3.5
TN,2005,5.5
TX,2005,5.5
UT,2005,4
VT,2005,3.5
VA,2005,3.5
WA,2005,5.6
WV,2005,5.1
WI,2005,4.7
WY,2005,3.6
AL,2006,4
AK,2006,6.6
AZ,2006,4.3
AR,2006,5.2
CA,2006,4.9
CO,2006,4.2
CT,2006,4.4
DE,2006,3.6
FL,2006,3.3
GA,2006,4.7
HI,2006,2.5
ID,2006,3.4
IL,2006,4.6
IN,2006,5
IA,2006,3.7
KS,2006,4.4
KY,2006,5.7
LA,2006,4.1
ME,2006,4.7
MD,2006,3.8
MA,2006,4.7
MI,2006,6.9
MN,2006,4.1
MS,2006,6.4
MO,2006,4.9
MT,2006,3.4
NE,2006,3.1
NV,2006,4.1
NH,2006,3.5
NJ,2006,4.7
NM,2006,4.2
NY,2006,4.5
NC,2006,4.7
ND,2006,3.1
OH,2006,5.4
OK,2006,3.9
OR,2006,5.4
PA,2006,4.7
RI,2006,5.2
SC,2006,6.3
SD,2006,3
TN,2006,5.2
TX,2006,5
UT,2006,2.8
VT,2006,3.7
VA,2006,3.1
WA,2006,5
WV,2006,4.8
WI,2006,4.7
WY,2006,3.1
AL,2007,4.1
AK,2007,6.2
AZ,2007,3.7
AR,2007,5.4
CA,2007,5.3
CO,2007,3.7
CT,2007,4.5
DE,2007,3.4
FL,2007,4
GA,2007,4.6
HI,2007,2.8
ID,2007,3
IL,2007,5.1
IN,2007,4.6
IA,2007,3.7
KS,2007,4.3
KY,2007,5.4
LA,2007,4.1
ME,2007,4.7
MD,2007,3.4
MA,2007,4.5
MI,2007,7.1
MN,2007,4.6
MS,2007,6.1
MO,2007,5.1
MT,2007,3.4
NE,2007,3
NV,2007,4.8
NH,2007,3.5
NJ,2007,4.2
NM,2007,3.6
NY,2007,4.4
NC,2007,4.7
ND,2007,3
OH,2007,5.6
OK,2007,4
OR,2007,5.2
PA,2007,4.6
RI,2007,5.1
SC,2007,5.6
SD,2007,2.8
TN,2007,4.6
TX,2007,4.4
UT,2007,2.6
VT,2007,3.9
VA,2007,3.1
WA,2007,4.6
WV,2007,4.5
WI,2007,4.8
WY,2007,2.7
AL,2008,5.9
AK,2008,6.5
AZ,2008,5.8
AR,2008,5.4
CA,2008,7.3
CO,2008,4.8
CT,2008,5.6
DE,2008,4.8
FL,2008,6.3
GA,2008,6.4
HI,2008,4.1
ID,2008,5
IL,2008,6.5
IN,2008,5.9
IA,2008,4.1
KS,2008,4.6
KY,2008,6.5
LA,2008,4.7
ME,2008,5.4
MD,2008,4.3
MA,2008,5.3
MI,2008,8.2
MN,2008,5.4
MS,2008,6.7
MO,2008,6.1
MT,2008,4.7
NE,2008,3.2
NV,2008,6.9
NH,2008,3.8
NJ,2008,5.4
NM,2008,4.4
NY,2008,5.4
NC,2008,5.9
ND,2008,3
OH,2008,6.6
OK,2008,3.6
OR,2008,6.3
