"State","Year","under19_pop_prct","white_pop_prct"
"IL",2003,0.285226209672088,0.799403010798179
"IL",2004,0.283699634616129,0.798094850479036
"IL",2005,0.281755775599543,0.796705335481169
"IL",2006,0.279740002238224,0.79519707243501
"IL",2007,0.278144870149071,0.793828715583482
"IL",2008,0.276348277929351,0.792549845697487
"IL",2009,0.274269351238257,0.791116170023423
"IL",2010,0.271815597878058,0.789790945105499
"IL",2011,0.268614910144618,0.788489393472866
"IL",2012,0.265261816214387,0.786976994390068
"IL",2013,0.261878496911508,0.785354919675484
"IL",2014,0.258867461839593,0.783943070169699
"IL",2015,0.256427040139396,0.782525708043907
"IL",2016,0.254286504759126,0.781519043639938
"IL",2017,0.252254510351027,0.78037453825969
"IL",2018,0.250218127368778,0.77911936512812
"IL",2019,0.248212865380595,0.777675047651005
"IN",1990,0.292163551104232,0.912639862046084
"IN",1991,0.28904591349458,0.911584278009283
"IN",1992,0.286785183028707,0.910139787369811
"IN",1993,0.285979363372033,0.908792600268443
"IN",1994,0.286792188384069,0.907312921353939
"IN",1995,0.28723434616905,0.905954566203061
"IN",1996,0.287191375975637,0.904705763431269
"IN",1997,0.288886123829544,0.903053045312662
"IN",1998,0.289869942389246,0.901562458325554
"IN",1999,0.290414888810844,0.899909825840298
"IN",2000,0.28966690994188,0.897572927572603
"IN",2001,0.288422523075316,0.895633641004217
"IN",2002,0.286662680290521,0.893733673361147
"IN",2003,0.285277435925739,0.891825535072405
"IN",2004,0.284522863523176,0.889856212258385
"IN",2005,0.283542583269944,0.887861592427376
"IN",2006,0.282794663671826,0.885634635254108
"IN",2007,0.282215386891872,0.883648329620717
"IN",2008,0.28153566037636,0.881709113084504
"IN",2009,0.280112550459994,0.879621941921176
"IN",2010,0.277904459980476,0.877639115547316
"IN",2011,0.275042169695273,0.875749018495739
"IN",2012,0.271973963944217,0.873820973513174
"IN",2013,0.269852861587955,0.871855415208428
"IN",2014,0.267875699688973,0.869976601709161
"IN",2015,0.266308204893695,0.868112841462001
"IN",2016,0.265044984372136,0.865784263126923
"IN",2017,0.263718598670667,0.863768342755972
"IN",2018,0.262363944005949,0.861113521520508
"IN",2019,0.260697104476251,0.858672304035267
"KS",1990,0.296725692355247,0.919741237528457
"KS",1991,0.296179006708229,0.918931357710061
"KS",1992,0.295409798001417,0.916962763298286
"KS",1993,0.29601294245715,0.916421251007707
"KS",1994,0.296577850993194,0.915089364014055
