"State","Year","under19_pop_prct","white_pop_prct","Income","income_adj","educ_spending","governor","house","senate"
"MS",1997,0.312941573004576,0.62435127929236,28500,42750,3406.456543,1,-1,-1
"MS",1998,0.310566329415573,0.623458999712639,29120,42806.4,3585.14624,1,-1,-1
"MS",1999,0.309119829953811,0.622553393994077,32480,46771.2,3720.852295,1,-1,-1
"MS",2000,0.306229248973003,0.62190465858691,34300,47677,4028.208252,-1,-1,-1
"MS",2001,0.302773156901136,0.621044418600249,30160,41017.6,4073.540771,-1,-1,-1
"MS",2002,0.299451740155687,0.62031965091593,30880,41070.4,4144.423828,-1,-1,-1
"MS",2003,0.296817082660464,0.619470266832897,32730,42549,4421.754883,-1,-1,-1
"MS",2004,0.295094167206067,0.618534376828048,34760,44145.2,4641.402832,1,-1,-1
"MS",2005,0.292887713213921,0.617527597753982,32880,40442.4,4771.66748,1,-1,-1
"MS",2006,0.291299280063395,0.613656626659479,34730,41328.7,5051.035645,1,-1,-1
"MS",2007,0.291099766079874,0.612046715727287,37280,43244.8,5043.43457,1,-1,1
"MS",2008,0.290100501864777,0.610419749467909,36450,40459.5,5191.871582,1,-1,-1
"MS",2009,0.288361666014369,0.609463919853291,35080,39289.6,5249.914063,1,-1,-1
"MS",2010,0.285050435138567,0.607681478299627,38160,41976,5269.195313,1,-1,-1
"MS",2011,0.281252318520874,0.606325646726744,41090,43966.3,5082.048828,1,-1,1
"MS",2012,0.27803591106154,0.605321507760532,36640,38472,5168.57959,1,1,1
"MS",2013,0.275146041219777,0.603617077730165,36595,37692.85,5151.478516,1,1,1
"MT",1997,0.291868991363859,0.928925174043254,29210,43815,4923.669922,1,1,1
"MT",1998,0.29059389465404,0.927426322034981,31580,46422.6,5033.03125,1,1,1
"MT",1999,0.288220593265568,0.925652947553612,31040,44697.6,5111.671875,1,1,1
"MT",2000,0.284980852492827,0.922564626294435,32780,45564.2,5202.484375,1,1,1
"MT",2001,0.282735420817433,0.921143246512254,32130,43696.8,5359.111328,1,1,1
"MT",2002,0.278081799604461,0.92026255200638,34840,46337.2,5546.41748,1,1,1
"MT",2003,0.274203755858334,0.919485010275872,34110,44343,5729.899414,1,1,1
"MT",2004,0.270197385186595,0.918719066159575,33960,43129.2,5878.696777,1,1,1
"MT",2005,0.266071128452019,0.917896143184463,37310,45891.3,5871.304199,-1,0,-1
"MT",2006,0.262453132806825,0.917457058524686,41110,48920.9,5976.066895,-1,0,-1
"MT",2007,0.260091675598576,0.916796412585803,43660,50645.6,6163.589844,-1,1,-1
"MT",2008,0.25806854667329,0.916412590957738,42900,47619,6287.378418,-1,1,-1
"MT",2009,0.255843094690757,0.91528097058686,40440,45292.8,6424.44873,-1,0,1
"MT",2010,0.253397355599139,0.914431960528799,41280,45408,6693.108398,-1,0,1
"MT",2011,0.251602300574743,0.912516193463255,40280,43099.6,6655.689453,-1,1,1
"MT",2012,0.248972138400431,0.911017620342245,45090,47344.5,6478.230957,-1,1,1
"MT",2013,0.247590445248424,0.909561164558111,43665,44974.95,6468.643066,-1,1,1
"NC",1997,0.271038191417461,0.75190068990737,35840,53760,4222.503906,-1,1,-1
"NC",1998,0.271016802019075,0.751530806092005,35840,52684.8,4413.067383,-1,1,-1
"NC",1999,0.271541574222129,0.751112825295014,37250,53640,4599.983398,-1,-1,-1
"NC",2000,0.271792243480077,0.749553987606931,38320,53264.8,4887.006348,-1,-1,-1
"NC",2001,0.272754412175605,0.748051003383385,38160,51897.6,4912.795898,-1,-1,-1
"NC",2002,0.273058145005147,0.746411358553559,36520,48571.6,4990.285645,-1,-1,-1
"NC",2003,0.273177765131758,0.744654111646885,37280,48464,5009.257813,-1,-1,-1
"NC",2004,0.272498021781912,0.743106868672508,40240,51104.8,5006.794434,-1,-1,-1
"NC",2005,0.272375777490932,0.741682726608877,42060,51733.8,5197.304688,-1,-1,-1
"NC",2006,0.271387207071222,0.740152199047466,39800,47362,5192.340332,-1,-1,-1
"NC",2007,0.27200646367195,0.738440631464865,43510,50471.6,5402.46582,-1,-1,-1
"NC",2008,0.271114219541887,0.73648107422899,42930,47652.3,5343.966797,-1,-1,-1
"NC",2009,0.270114733311562,0.734374255918208,41910,46939.2,5689.011719,-1,-1,-1
"NC",2010,0.26751071590127,0.73238264470501,43830,48213,5512.083984,-1,-1,-1
"NC",2011,0.264883006032974,0.730488200371273,45210,48374.7,5258.845215,-1,1,1
"NC",2012,0.262062802144443,0.728398121088764,41550,43627.5,5164.939941,-1,1,1
"NC",2013,0.259344088223749,0.726028045776351,43775,45088.25,5169.59082,1,1,1
"ND",1997,0.291117965387954,0.942519500828054,31660,47490,4205.683594,1,1,1
"ND",1998,0.290072150874397,0.940694822804124,30300,44541,4559.083496,1,1,1
"ND",1999,0.288321932638892,0.93906177484521,32660,47030.4,4726.808594,1,1,1
"ND",2000,0.285298190251751,0.934468079803995,36000,50040,4936.841309,1,1,1
"ND",2001,0.283359048104879,0.932161511715608,35790,48674.4,5051.313477,1,1,1
"ND",2002,0.278616289127628,0.930032530618897,36200,48146,5188.044434,1,1,1
"ND",2003,0.273773240223726,0.928159394631013,40410,52533,5575.984863,1,1,1
"ND",2004,0.269476737422542,0.925930464320891,39220,49809.4,5881.391602,1,1,1
"ND",2005,0.265752860673994,0.923631264423322,42190,51893.7,6008.80127,1,1,1
"ND",2006,0.262113079014878,0.92149942564311,41050,48849.5,6063.294434,1,1,1
"ND",2007,0.260217946086376,0.919624338640548,47210,54763.6,6083.73877,1,1,1
"ND",2008,0.25852191937272,0.917877819666073,49630,55089.3,6324.144043,1,1,1
